"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 04 10:44:50 CST 2024","Thu Jul 04 10:44:50 CST 2024","1","case","aaa","","","","测试方法1",""
"passed","Thu Jul 04 10:44:50 CST 2024","Thu Jul 04 10:44:50 CST 2024","1","case","aaa","","","","测试方法4",""
"passed","Thu Jul 04 10:44:50 CST 2024","Thu Jul 04 10:44:50 CST 2024","1","case","aaa","","","","测试方法2",""
"passed","Thu Jul 04 10:55:26 CST 2024","Thu Jul 04 10:55:26 CST 2024","343","case","inter_case","","","","test_login_case",""
"passed","Thu Jul 04 10:44:50 CST 2024","Thu Jul 04 10:44:50 CST 2024","0","case","aaa","","","","测试方法3",""
